Connector,Pin,FPGA Pin,Pin Attributes,Pin Description,PCB Length (mm),K160T Package Delay (ps),K410T Package Delay (ps),Power In,Power Out,I/O Power,Ground,FPGA I/O,GTP,ac-coupled,I/O Bank,FPGA Clock In,Differential (+),Differential (-),JTAG,BRK7360,Design Net,UCF Constraints,XDC IOStandard,Comment
MC1,1,B17,IO_L3P_T0_DQS_AD1P_15,L3P_T0_DQS_AD1P_15,37.927,125.193,151.089,"","","","",true,"","",15,"",True,"","",J1A-1,"","","",""
MC1,2,C19,IO_L4P_T0_AD9P_15,L4P_T0_AD9P_15,38.643,115.389,155.065,"","","","",true,"","",15,"",TRUE,"","",J1A-3,"","","",""
MC1,3,A17,IO_L3N_T0_DQS_AD1N_15,L3N_T0_DQS_AD1N_15,37.969,127.851,155.737,"","","","",true,"","",15,"","",True,"",J1A-2,"","","",""
MC1,4,B19,IO_L4N_T0_AD9N_15,L4N_T0_AD9N_15,38.612,129.011,158.444,"","","","",true,"","",15,"","",TRUE,"",J1A-4,"","","",""
MC1,5,"","","","","","","","","",true,"","","","","","","","","","","","",""
MC1,6,"","","","","","","","","",true,"","","","","","","","","","","","",""
MC1,7,G17,IO_L11P_T1_SRCC_AD12P_15,L11P_T1_SRCC_AD12P_15,37.454,90.797,135.618,"","","","",true,"","",15,true,True,"","",J1A-5,"","","",""
MC1,8,A18,IO_L2P_T0_AD8P_15,L2P_T0_AD8P_15,38.715,138.337,156.513,"","","","",true,"","",15,"",True,"","",J1A-7,"","","",""
MC1,9,F18,IO_L11N_T1_SRCC_AD12N_15,L11N_T1_SRCC_AD12N_15,37.386,88.048,137.800,"","","","",true,"","",15,true,"",True,"",J1A-6,"","","",""
MC1,10,A19,IO_L2N_T0_AD8N_15,L2N_T0_AD8N_15,38.562,134.306,157.192,"","","","",true,"","",15,"","",True,"",J1A-8,"","","",""
MC1,11,"","","","","","","","","",true,"","","","","","","","","","","","",""
MC1,12,"","","","","","","","","",true,"","","","","","","","","","","","",""
MC1,13,G19,IO_L16P_T2_A28_15,L16P_T2_A28_15,38.641,88.278,137.122,"","","","",true,"","",15,"",True,"","",J1A-9,"","","",""
MC1,14,E15,IO_L10P_T1_AD4P_15,L10P_T1_AD4P_15,38.628,129.548,175.840,"","","","",true,"","",15,"",True,"","",J1A-11,"","","",""
MC1,15,F20,IO_L16N_T2_A27_15,L16N_T2_A27_15,38.622,86.947,134.251,"","","","",true,"","",15,"","",True,"",J1A-10,"","","",""
MC1,16,E16,IO_L10N_T1_AD4N_15,L10N_T1_AD4N_15,38.749,132.794,172.286,"","","","",true,"","",15,"","",True,"",J1A-12,"","","",""
MC1,17,"","","","","","","","","",true,"","","","","","","","","","","","",""
MC1,18,"","","","","","","","","",true,"","","","","","","","","","","","",""
MC1,19,F19,IO_L17P_T2_A26_15,L17P_T2_A26_15,38.650,99.930,168.342,"","","","",true,"","",15,"",True,"","",J1A-13,"","","",""
MC1,20,H19,IO_L18P_T2_A24_15,L18P_T2_A24_15,38.610,87.473,135.313,"","","","",true,"","",15,"",True,"","",J1A-15,"","","",""
MC1,21,E20,IO_L17N_T2_A25_15,L17N_T2_A25_15,38.627,101.389,157.226,"","","","",true,"","",15,"","",True,"",J1A-14,"","","",""
MC1,22,G20,IO_L18N_T2_A23_15,L18N_T2_A23_15,38.633,88.008,135.438,"","","","",true,"","",15,"","",True,"",J1A-16,"","","",""
MC1,23,"","","","","","","","","",true,"","","","","","","","","","","","",""
MC1,24,"","","","","","","","","",true,"","","","","","","","","","","","",""
MC1,25,F17,IO_L12P_T1_MRCC_AD5P_15,L12P_T1_MRCC_AD5P_15,38.819,96.662,160.497,"","","","",true,"","",15,true,True,"","",J1A-17,"","","",""
MC1,26,C17,IO_L5P_T0_AD2P_15,L5P_T0_AD2P_15,38.664,112.061,140.487,"","","","",true,"","",15,"",True,"","",J1A-19,"","","",""
MC1,27,E17,IO_L12N_T1_MRCC_AD5N_15,L12N_T1_MRCC_AD5N_15,38.673,99.256,160.575,"","","","",true,"","",15,true,"",True,"",J1A-18,"","","",""
MC1,28,C18,IO_L5N_T0_AD2N_15,L5N_T0_AD2N_15,38.589,122.670,141.359,"","","","",true,"","",15,"","",True,"",J1A-20,"","","",""
MC1,29,K15,IO_0_15,IO_0_15,38.969,47.678,74.860,"","","","",true,"","",15,"","","","",J1B-9,"","","",""
MC1,30,D15,IO_L6P_T0_15,L6P_T0_15,38.656,125.409,169.027,"","","","",true,"","",15,"",True,"","",J1B-10,"","","",""
MC1,31,L19,IO_L21P_T3_DQS_15,L21P_T3_DQS_15,38.707,60.862,117.596,"","","","",true,"","",15,"",True,"","",J1A-21,"","","",""
MC1,32,C16,IO_L1P_T0_AD0P_15,L1P_T0_AD0P_15,38.122,105.465,140.897,"","","","",true,"","",15,"",True,"","",J1A-23,"","","",""
MC1,33,L20,IO_L21N_T3_DQS_A18_15,L21N_T3_DQS_A18_15,38.586,58.181,118.539,"","","","",true,"","",15,"","",True,"",J1A-22,"","","",""
MC1,34,B16,IO_L1N_T0_AD0N_15,L1N_T0_AD0N_15,38.081,115.376,148.071,"","","","",true,"","",15,"","",True,"",J1A-24,"","","",""
MC1,35,M17,IO_L23P_T3_FOE_B_15,L23P_T3_FOE_B_15,37.522,55.691,88.767,"","","","",true,"","",15,"",True,"","",J1B-11,"","","",""
MC1,36,K20,IO_L19P_T3_A22_15,L19P_T3_A22_15,36.153,63.239,112.888,"","","","",true,"","",15,"",True,"","",J1B-12,"","","",""
MC1,37,J18,IO_L20P_T3_A20_15,L20P_T3_A20_15,38.821,84.637,83.982,"","","","",true,"","",15,"",True,"","",J1A-25,"","","",""
MC1,38,H17,IO_L14P_T2_SRCC_15,L14P_T2_SRCC_15,38.629,86.964,137.993,"","","","",true,"","",15,true,True,"","",J1A-27,"","","",""
MC1,39,J19,IO_L20N_T3_A19_15,L20N_T3_A19_15,38.722,83.627,91.709,"","","","",true,"","",15,"","",True,"",J1A-26,"","","",""
MC1,40,H18,IO_L14N_T2_SRCC_15,L14N_T2_SRCC_15,38.657,86.415,139.313,"","","","",true,"","",15,true,"",True,"",J1A-28,"","","",""
MC1,41,L18,IO_L23N_T3_FWE_B_15,L23N_T3_FWE_B_15,35.664,53.878,83.139,"","","","",true,"","",15,"","",True,"",J1B-13,"","","",""
MC1,42,K18,IO_L24N_T3_RS0_15,L24N_T3_RS0_15,38.799,59.734,103.335,"","","","",true,"","",15,"","",True,"",J1B-14,"","","",""
MC1,43,G15,IO_L8P_T1_AD3P_15,L8P_T1_AD3P_15,38.608,125.702,159.724,"","","","",true,"","",15,"",True,"","",J1A-29,"","","",""
MC1,44,D19,IO_L15P_T2_DQS_15,L15P_T2_DQS_15,38.587,120.872,171.388,"","","","",true,"","",15,"",True,"","",J1A-31,"","","",""
MC1,45,F15,IO_L8N_T1_AD3N_15,L8N_T1_AD3N_15,38.535,127.566,163.548,"","","","",true,"","",15,"","",True,"",J1A-30,"","","",""
MC1,46,D20,IO_L15N_T2_DQS_ADV_B_15,L15N_T2_DQS_ADV_B_15,38.665,118.983,168.557,"","","","",true,"","",15,"","",True,"",J1A-32,"","","",""
